DATE,Payrolls,CPI,UClaims,PPI,URate
7/1/1964,58412,31.02,,,
8/1/1964,58619,31.05,,,
9/1/1964,58903,31.08,,,
10/1/1964,58793,31.12,,,
11/1/1964,59218,31.21,,,
12/1/1964,59421,31.25,,,
1/1/1965,59582,31.28,,,
2/1/1965,59800,31.28,,,
3/1/1965,60003,31.31,,,
4/1/1965,60259,31.38,,,
5/1/1965,60491,31.48,,,
6/1/1965,60690,31.61,,,
7/1/1965,60965,31.58,,,
8/1/1965,61228,31.55,,,
9/1/1965,61490,31.62,,,
10/1/1965,61719,31.65,,,
11/1/1965,61996,31.75,,,
12/1/1965,62322,31.85,,,
1/1/1966,62529,31.88,,,
2/1/1966,62796,32.08,,,
3/1/1966,63192,32.18,,,
4/1/1966,63437,32.28,,,
5/1/1966,63712,32.35,,,
6/1/1966,64111,32.38,,,
7/1/1966,64301,32.45,,,
8/1/1966,64507,32.65,,,
9/1/1966,64643,32.75,,,
10/1/1966,64854,32.85,,,
11/1/1966,65019,32.88,,,
12/1/1966,65199,32.92,,,
4/1/1995,117065,151.8,350200,124.1,2.6
5/1/1995,117050,152.1,370250,124.5,2.7
6/1/1995,117285,152.4,366250,124.4,2.6
7/1/1995,117377,152.6,371400,124.4,2.6
8/1/1995,117639,152.9,356250,124.4,2.6
9/1/1995,117880,153.1,362000,124.3,2.6
10/1/1995,118029,153.5,371500,125.1,2.7
11/1/1995,118168,153.7,377000,125.1,2.7
12/1/1995,118325,153.9,365000,125.3,2.6
1/1/1996,118318,154.7,374000,125.8,2.7
2/1/1996,118734,155,377250,125.7,2.7
3/1/1996,118990,155.5,386400,126.0,2.6
4/1/1996,119156,156.1,359250,126.8,2.8
5/1/1996,119489,156.4,344500,127.4,2.6
6/1/1996,119770,156.7,342200,127.1,2.5
7/1/1996,120015,157,337000,127.1,2.5
8/1/1996,120201,157.2,331800,127.4,2.3
9/1/1996,120402,157.7,342750,127.5,2.4
10/1/1996,120663,158.2,339000,128.2,2.3
11/1/1996,120949,158.7,336400,128.0,2.5
12/1/1996,121145,159.1,353500,128.0,2.3
1/1/1997,121363,159.4,339000,128.1,2.4
2/1/1997,121675,159.7,320750,127.9,2.3
3/1/1997,121989,159.8,319400,127.8,2.3
4/1/1997,122284,159.9,327000,127.7,2.3
5/1/1997,122551,159.9,323800,127.6,2.2
6/1/1997,122816,160.2,325500,127.2,2.3
7/1/1997,123112,160.4,320250,126.9,2.1
8/1/1997,123092,160.8,330200,127.4,2.2
9/1/1997,123577,161.2,315250,127.3,2.2
10/1/1997,123924,161.5,310000,127.6,2.1
